,column_i,column_j,solution_value
0,1,1,17.0
1,1,2,1.0
2,1,3,16.0
3,1,4,9.0
4,1,5,1.0
5,2,1,17.0
6,2,2,6.0
7,2,3,7.0
8,2,4,7.0
9,2,5,16.0
10,3,1,4.0
11,3,2,9.0
12,3,3,10.0
13,3,4,0.0
14,3,5,18.0
15,4,1,0.0
16,4,2,5.0
17,4,3,12.0
18,4,4,5.0
19,4,5,9.0
20,5,1,12.0
21,5,2,19.0
22,5,3,1.0
23,5,4,5.0
24,5,5,6.0
25,6,1,11.0
26,6,2,3.0
27,6,3,4.0
28,6,4,4.0
29,6,5,17.0
30,7,1,20.0
31,7,2,14.0
32,7,3,8.2809362
33,7,4,-68.587995
34,7,5,16.0
35,8,1,15.0
36,8,2,-213.59033
37,8,3,19.0
38,8,4,19.0
39,8,5,10.0
40,9,1,11.0
41,9,2,2.0
42,9,3,4.0
43,9,4,14.0
44,9,5,11.0
45,10,1,10.0
46,10,2,9.0
47,10,3,10.0
48,10,4,8.0
49,10,5,15.0
